,data,hora,valor,FUNCAO_TRATADA,CATEGORIA_TRATADA,COMPROU,SEXO_TRATADO,IDADE_TRATADA
1678,2014-09-02,15:46,90.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
1679,2014-09-02,16:47,36.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
1681,2014-09-02,18:25,8.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1682,2014-09-02,18:49,2.221,Funcionario,Telecom,Sim,Masculino,Maior de 60
1683,2014-09-02,18:58,48.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1684,2014-09-02,19:21,1.125,Aluno,Tablet,Sim,Feminino,Entre 18 e 30
1685,2014-09-02,19:27,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1686,2014-09-03,21:7,62.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1687,2014-09-03,9:41,10.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1689,2014-09-03,10:21,30.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
1690,2014-09-03,10:38,60.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1692,2014-09-03,11:5,80.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1696,2014-09-03,17:14,47.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
1699,2014-09-03,18:32,30.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1700,2014-09-03,19:10,32.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1703,2014-09-04,10:50,25.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1706,2014-09-04,12:40,8.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
1708,2014-09-04,12:47,10.0,Funcionario,Telecom,Sim,Masculino,Entre 18 e 30
1710,2014-09-04,13:31,25.0,Funcionario,Acessorios,Sim,Feminino,Entre 18 e 30
1711,2014-09-04,14:10,80.0,Outros,Acessorios,Sim,Masculino,Maior de 60
1714,2014-09-04,15:43,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1715,2014-09-04,16:37,60.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
1716,2014-09-04,16:38,2486.0,Aluno,Telecom,Sim,Masculino,Entre 30 e 60
1718,2014-09-04,19:54,48.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1720,2014-09-05,21:14,26.0,Funcionario,Acessorios,Sim,Feminino,Entre 18 e 30
1721,2014-09-05,10:30,359.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1723,2014-09-05,11:33,25.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
1726,2014-09-05,13:1,90.0,Funcionario,Apple,Sim,Feminino,Entre 30 e 60
1728,2014-09-05,14:32,8.0,Outros,Acessorios,Sim,Masculino,Entre 18 e 30
1729,2014-09-05,16:17,72.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
1732,2014-09-05,16:53,48.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1734,2014-09-05,18:20,8.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1735,2014-09-05,19:18,90.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
1737,2014-09-05,19:46,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1738,2014-09-06,21:5,4.182,Aluno,Notebooks,Sim,Masculino,Maior de 60
1739,2014-09-06,15:50,2.039,Aluno,Games,Sim,Masculino,Entre 18 e 30
1741,2014-09-08,9:59,186.0,Outros,Impressoras,Sim,Feminino,Maior de 60
1743,2014-09-08,11:59,128.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
1745,2014-09-08,13:23,75.0,Professor,Impressoras,Sim,Feminino,Maior de 60
1750,2014-09-08,16:10,520.0,Professor,Acessorios,Sim,Feminino,Entre 30 e 60
1752,2014-09-08,17:46,130.0,Professor,Acessorios,Sim,Feminino,Entre 30 e 60
1753,2014-09-08,19:11,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1755,2014-09-09,21:11,120.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1758,2014-09-09,10:51,60.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
1759,2014-09-09,11:45,30.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1760,2014-09-09,11:58,26.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1767,2014-09-09,16:12,105.0,Aluno,Impressoras,Sim,Feminino,Entre 30 e 60
1768,2014-09-09,16:24,64.0,Aluno,Impressoras,Sim,Masculino,Entre 18 e 30
1769,2014-09-09,16:54,60.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1770,2014-09-09,17:48,20.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
1772,2014-09-09,18:11,10.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1775,2014-09-09,19:22,80.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
1776,2014-09-10,10:27,80.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1783,2014-09-10,16:13,120.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1785,2014-09-10,16:38,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1786,2014-09-10,17:35,30.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1788,2014-09-10,19:42,150.0,Aluno,Impressoras,Sim,Feminino,Entre 30 e 60
1789,2014-09-11,11:2,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1791,2014-09-11,12:49,145.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1795,2014-09-11,13:59,130.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1798,2014-09-11,15:54,10.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1799,2014-09-11,15:58,25.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1801,2014-09-11,17:10,25.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1802,2014-09-11,17:25,165.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
1803,2014-09-11,17:34,10.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1804,2014-09-11,17:34,20.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1805,2014-09-11,19:1,60.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1809,2014-09-12,11:42,48.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
1814,2014-09-12,12:48,48.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1815,2014-09-12,13:15,60.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1816,2014-09-12,14:29,30.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1817,2014-09-12,14:29,40.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
1818,2014-09-12,14:54,25.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1820,2014-09-12,16:42,62.0,Outros,Acessorios,Sim,Masculino,Entre 18 e 30
1821,2014-09-12,16:48,36.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1822,2014-09-12,20:1,10.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1823,2014-09-12,20:1,50.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
1824,2014-09-12,20:2,90.0,Professor,Apple,Sim,Feminino,Entre 30 e 60
1826,2014-09-13,12:24,25.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1829,2014-09-15,9:49,50.0,Professor,Impressoras,Sim,Feminino,Entre 30 e 60
1830,2014-09-15,9:50,80.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1833,2014-09-15,12:30,8.0,Funcionario,Acessorios,Sim,Feminino,Entre 18 e 30
1836,2014-09-15,13:8,90.0,Aluno,Apple,Sim,Masculino,Entre 30 e 60
1838,2014-09-15,13:21,60.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
1839,2014-09-15,13:28,26.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1840,2014-09-15,14:12,60.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
1841,2014-09-15,14:14,25.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1843,2014-09-15,14:51,30.0,Funcionario,Acessorios,Sim,Feminino,Entre 18 e 30
1846,2014-09-15,16:47,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1848,2014-09-15,17:46,150.0,Professor,Acessorios,Sim,Feminino,Entre 30 e 60
1850,2014-09-15,18:6,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1852,2014-09-15,20:25,45.0,Aluno,Impressoras,Sim,Masculino,Entre 18 e 30
1853,2014-09-15,20:47,20.0,Aluno,Impressoras,Sim,Masculino,Entre 18 e 30
1854,2014-09-16,21:0,30.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1855,2014-09-16,10:43,36.0,Outros,Impressoras,Sim,Masculino,Entre 30 e 60
1856,2014-09-16,11:57,30.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
1859,2014-09-16,12:55,20.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
1860,2014-09-16,13:22,12.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1861,2014-09-16,13:54,10.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1862,2014-09-16,13:55,120.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
1863,2014-09-16,14:52,2.0,Funcionario,Softwares,Sim,Masculino,Entre 30 e 60
1864,2014-09-16,15:14,76.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1865,2014-09-16,15:28,107.0,Professor,Impressoras,Sim,Masculino,Entre 30 e 60
1867,2014-09-16,15:42,29.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
1868,2014-09-16,16:29,150.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1869,2014-09-16,16:29,60.0,Professor,Acessorios,Sim,Masculino,Maior de 60
1870,2014-09-16,17:34,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1872,2014-09-16,20:26,80.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1874,2014-09-17,9:41,143.0,Outros,Telecom,Sim,Masculino,Entre 30 e 60
1882,2014-09-17,13:39,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1883,2014-09-17,13:40,145.0,Funcionario,Telecom,Sim,Masculino,Entre 18 e 30
1884,2014-09-17,13:41,1190.0,Aluno,Notebooks,Sim,Feminino,Entre 30 e 60
1885,2014-09-17,17:0,60.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
1886,2014-09-17,17:2,150.0,Professor,Acessorios,Sim,Masculino,Entre 30 e 60
1887,2014-09-17,18:4,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1888,2014-09-17,18:55,25.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1889,2014-09-18,21:11,10.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1891,2014-09-18,11:14,40.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1892,2014-09-18,12:10,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1893,2014-09-18,12:36,16.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
1896,2014-09-18,13:36,48.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1897,2014-09-18,14:8,10.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1900,2014-09-19,21:20,85.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1901,2014-09-19,21:27,40.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
1903,2014-09-19,12:7,85.0,Funcionario,Apple,Sim,Feminino,Entre 30 e 60
1905,2014-09-19,12:27,60.0,Funcionario,Acessorios,Sim,Feminino,Entre 18 e 30
1906,2014-09-19,12:46,78.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
1907,2014-09-19,12:46,62.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
1911,2014-09-19,14:41,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1912,2014-09-19,14:51,60.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1913,2014-09-19,15:53,30.0,Professor,Acessorios,Sim,Feminino,Maior de 60
1914,2014-09-19,16:11,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1916,2014-09-19,18:18,540.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1917,2014-09-19,19:50,30.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1920,2014-09-22,12:5,100.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1924,2014-09-22,13:32,150.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
1925,2014-09-22,13:46,10.0,Funcionario,Acessorios,Sim,Feminino,Entre 18 e 30
1926,2014-09-22,13:54,30.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1927,2014-09-22,14:39,36.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
1930,2014-09-22,17:2,8.0,Funcionario,Acessorios,Sim,Masculino,Maior de 60
1936,2014-09-23,11:24,62.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1940,2014-09-23,14:40,50.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
1943,2014-09-23,15:46,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1944,2014-09-23,16:30,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1945,2014-09-23,18:47,10.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
1946,2014-09-24,21:8,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1948,2014-09-24,8:56,36.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
1949,2014-09-24,9:33,25.0,Professor,Acessorios,Sim,Masculino,Entre 30 e 60
1954,2014-09-24,17:24,85.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1955,2014-09-24,19:55,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1957,2014-09-24,19:55,50.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
1958,2014-09-24,20:34,36.0,Aluno,Impressoras,Sim,Feminino,Entre 30 e 60
1960,2014-09-25,9:28,32.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
1966,2014-09-25,13:54,20.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
1971,2014-09-25,18:28,136.0,Outros,Impressoras,Sim,Masculino,Entre 30 e 60
1972,2014-09-25,19:50,10.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1974,2014-09-26,11:18,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1975,2014-09-26,11:18,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1976,2014-09-26,11:19,20.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
1979,2014-09-26,11:39,25.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
1980,2014-09-26,12:15,35.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1981,2014-09-26,14:5,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1982,2014-09-26,14:38,1090.0,Professor,Acessorios,Sim,Feminino,Entre 30 e 60
1984,2014-09-26,16:14,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1986,2014-09-29,10:28,80.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
1987,2014-09-29,10:29,8.0,Outros,Acessorios,Sim,Masculino,Maior de 60
1988,2014-09-29,10:38,55.0,Outros,Impressoras,Sim,Masculino,Maior de 60
1991,2014-09-29,11:35,110.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
1994,2014-09-29,13:15,20.0,Funcionario,Impressoras,Sim,Feminino,Entre 30 e 60
1995,2014-09-29,15:4,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
1997,2014-09-29,17:24,20.0,Outros,Acessorios,Sim,Masculino,Maior de 60
1998,2014-09-29,17:36,25.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
1999,2014-09-29,18:7,1245.0,Funcionario,Telecom,Sim,Feminino,Entre 30 e 60
2000,2014-09-29,19:21,36.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2001,2014-09-30,21:6,60.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2004,2014-09-30,11:35,50.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
2005,2014-09-30,12:0,20.0,Professor,Acessorios,Sim,Feminino,Entre 30 e 60
2006,2014-09-30,12:33,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
2008,2014-09-30,12:59,105.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
2010,2014-09-30,14:16,60.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
2011,2014-09-30,15:12,95.0,Funcionario,Cameras,Sim,Masculino,Entre 30 e 60
2012,2014-09-30,15:23,64.0,Outros,Impressoras,Sim,Feminino,Entre 30 e 60
2013,2014-09-30,15:45,36.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2014,2014-09-30,16:10,40.0,Aluno,Impressoras,Sim,Masculino,Entre 18 e 30
2018,2014-09-30,18:22,130.0,Professor,Acessorios,Sim,Feminino,Entre 30 e 60
2019,2014-09-30,18:26,10.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2020,2014-09-30,20:10,20.0,Aluno,Impressoras,Sim,Masculino,Entre 30 e 60
2023,2014-10-01,10:30,4.8,Professor,Apple,Sim,Feminino,Entre 30 e 60
2024,2014-10-01,10:34,48.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2026,2014-10-01,11:7,170.0,Outros,Apple,Sim,Feminino,Entre 30 e 60
2027,2014-10-01,11:8,80.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
2028,2014-10-01,11:20,36.0,Aluno,Impressoras,Sim,Masculino,Entre 18 e 30
2029,2014-10-01,12:18,45.0,Outros,Impressoras,Sim,Feminino,Entre 30 e 60
2031,2014-10-01,14:57,28.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2032,2014-10-01,15:19,1.9,Aluno,Outros,Sim,Feminino,Entre 30 e 60
2033,2014-10-01,15:20,60.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
2035,2014-10-01,18:56,80.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
2038,2014-10-02,9:46,20.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
2039,2014-10-02,9:55,320.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
2040,2014-10-02,10:44,150.0,Funcionario,Telecom,Sim,Masculino,Entre 30 e 60
2041,2014-10-02,10:49,32.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
2042,2014-10-02,10:49,25.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2045,2014-10-02,13:57,55.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
2046,2014-10-02,14:1,80.0,Funcionario,Apple,Sim,Masculino,Entre 30 e 60
2055,2014-10-02,18:20,80.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
2056,2014-10-02,19:14,80.0,Funcionario,Apple,Sim,Masculino,Entre 30 e 60
2057,2014-10-03,12:33,45.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2058,2014-10-03,12:34,130.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2059,2014-10-03,13:11,20.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
2063,2014-10-03,14:12,25.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
2067,2014-10-03,17:9,56.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
2068,2014-10-03,17:47,60.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
2070,2014-10-06,10:7,60.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2071,2014-10-06,11:5,150.0,Funcionario,Telecom,Sim,Masculino,Entre 30 e 60
2072,2014-10-06,11:34,20.0,Funcionario,Impressoras,Sim,Masculino,Maior de 60
2073,2014-10-06,13:23,50.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2074,2014-10-06,13:29,2.97,Funcionario,Outros,Sim,Feminino,Entre 30 e 60
2075,2014-10-06,14:44,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2076,2014-10-06,15:40,260.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2077,2014-10-06,16:7,10.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2078,2014-10-06,16:13,80.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
2080,2014-10-06,17:21,118.0,Funcionario,Telecom,Sim,Feminino,Entre 30 e 60
2081,2014-10-06,18:27,24.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
2082,2014-10-06,19:16,40.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2085,2014-10-06,19:46,98.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2086,2014-10-07,10:31,80.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
2091,2014-10-07,15:1,48.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2093,2014-10-07,15:45,40.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
2098,2014-10-07,18:45,85.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2105,2014-10-08,14:31,190.0,Funcionario,Games,Sim,Feminino,Entre 18 e 30
2108,2014-10-08,17:27,20.0,Outros,Impressoras,Sim,Feminino,Entre 18 e 30
2110,2014-10-08,18:4,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2111,2014-10-08,19:15,60.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2112,2014-10-08,20:8,20.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
2113,2014-10-09,10:19,48.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
2114,2014-10-09,11:36,25.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2121,2014-10-10,21:8,48.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
2125,2014-10-10,12:41,55.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2126,2014-10-10,13:1,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
2127,2014-10-10,13:17,164.0,Outros,Impressoras,Sim,Masculino,Entre 30 e 60
2128,2014-10-10,13:20,48.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
2130,2014-10-10,16:2,190.0,Aluno,Games,Sim,Feminino,Entre 18 e 30
2134,2014-10-10,19:44,25.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2136,2014-10-10,20:4,380.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2138,2014-10-11,9:19,50.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2139,2014-10-11,9:35,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2140,2014-10-11,11:40,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2141,2014-10-11,12:23,30.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
2142,2014-10-13,9:50,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2144,2014-10-13,12:34,60.0,Funcionario,Acessorios,Sim,Feminino,Maior de 60
2146,2014-10-13,13:18,150.0,Funcionario,Telecom,Sim,Masculino,Entre 30 e 60
2149,2014-10-13,13:50,10.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
2150,2014-10-13,14:45,298.0,Professor,Acessorios,Sim,Masculino,Entre 30 e 60
2153,2014-10-13,15:47,10.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
2156,2014-10-13,18:9,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2164,2014-10-14,12:12,20.0,Funcionario,Tablet,Sim,Feminino,Entre 30 e 60
2167,2014-10-14,13:6,90.0,Outros,Apple,Sim,Masculino,Entre 30 e 60
2168,2014-10-14,15:19,48.0,Professor,Acessorios,Sim,Feminino,Entre 30 e 60
2170,2014-10-14,16:2,20.0,Funcionario,Acessorios,Sim,Feminino,Maior de 60
2172,2014-10-14,19:3,255.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
2173,2014-10-14,19:23,68.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2174,2014-10-15,21:12,105.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2175,2014-10-16,10:2,8.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2176,2014-10-16,10:11,25.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2179,2014-10-16,16:42,32.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
2180,2014-10-16,17:9,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2181,2014-10-16,19:32,525.0,Professor,Impressoras,Sim,Masculino,Entre 30 e 60
2182,2014-10-16,20:5,80.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
2185,2014-10-17,12:49,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2186,2014-10-17,14:12,25.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2187,2014-10-17,14:31,60.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2188,2014-10-17,14:39,160.0,Professor,Acessorios,Sim,Feminino,Entre 30 e 60
2189,2014-10-17,18:1,75.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2190,2014-10-17,18:7,25.0,Outros,Acessorios,Sim,Feminino,Maior de 60
2197,2014-10-20,9:0,50.0,Professor,Impressoras,Sim,Feminino,Entre 30 e 60
2198,2014-10-20,10:2,145.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
2199,2014-10-20,11:34,90.0,Aluno,Apple,Sim,Masculino,Entre 18 e 30
2200,2014-10-20,12:0,50.0,Outros,Impressoras,Sim,Masculino,Entre 30 e 60
2201,2014-10-20,12:7,40.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
2202,2014-10-20,12:14,25.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
2203,2014-10-20,12:57,90.0,Aluno,Apple,Sim,Masculino,Entre 18 e 30
2205,2014-10-20,15:11,25.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2206,2014-10-20,15:17,25.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
2207,2014-10-20,17:20,80.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2209,2014-10-20,18:3,25.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2210,2014-10-20,18:43,10.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
2211,2014-10-20,21:6,90.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
2212,2014-10-20,21:6,25.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
2219,2014-10-21,16:33,124.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
2220,2014-10-21,16:38,70.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
2221,2014-10-21,18:3,8.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
